Community Feature ID,Community,AEA Energy Region
1398007,Akhiok,Kodiak
1398011,Akiachak,Lower Yukon-Kuskokwim
1398012,Akiak,Lower Yukon-Kuskokwim
1418123,Akutan,Aleutians
1404263,Juneau,Southeast
1404263,Juneau,Southeast
1404263,Juneau,Southeast
1404263,Juneau,Southeast
1404263,Juneau,Southeast
1404263,Juneau,Southeast
1404263,Juneau,Southeast
1401958,Fairbanks,Railbelt
1398055,Alatna,Yukon-Koyukuk/Upper Tanana
1398129,Allakaket,Yukon-Koyukuk/Upper Tanana
1926949,Bettles,Yukon-Koyukuk/Upper Tanana
1400333,Chistochina,Copper River/Chugach
1669437,Coffman Cove,Southeast
1421260,Craig,Southeast
1421260,Craig,Southeast
1421260,Craig,Southeast
1401364,Dot Lake,Yukon-Koyukuk/Upper Tanana
1401499,Eagle,Yukon-Koyukuk/Upper Tanana
1401553,Eagle Village,Yukon-Koyukuk/Upper Tanana
1401936,Evansville,Yukon-Koyukuk/Upper Tanana
1422400,Haines,Southeast
2419534,Healy Lake,Yukon-Koyukuk/Upper Tanana
1866952,Hollis,Southeast
1422709,Hydaburg,Southeast
1404468,Kasaan,Southeast
1423100,Klawock,Southeast
1406241,Mentasta Lake,Yukon-Koyukuk/Upper Tanana
1866964,Naukati Bay,Southeast
1407253,Northway,Yukon-Koyukuk/Upper Tanana
1407254,Northway Village,Yukon-Koyukuk/Upper Tanana
1414754,Skagway,Southeast
1414754,Skagway,Southeast
1414754,Skagway,Southeast
1409698,Slana,Copper River/Chugach
1410618,Tanacross,Yukon-Koyukuk/Upper Tanana
1410765,Tetlin,Yukon-Koyukuk/Upper Tanana
1669435,Thorne Bay,Southeast
1669435,Thorne Bay,Southeast
1411046,Tok,Yukon-Koyukuk/Upper Tanana
1744590,Whale Pass,Southeast
1398042,Alakanuk,Lower Yukon-Kuskokwim
1412509,Ambler,Northwest Arctic
1398263,Andreafsky,Lower Yukon-Kuskokwim
1398335,Anvik,Yukon-Koyukuk/Upper Tanana
1420670,Brevig Mission,Bering Straits
1400219,Chevak,Lower Yukon-Kuskokwim
